						|
relic.muscle_counter	Relic	狼牙棒	White	[MHP]+{relic.muscle_counter.max_hp.value}；每拥有{relic.muscle_counter.battle.every}点[MHP]，对怪物多造成{relic.muscle_counter.battle.gain}点伤害	狼牙是装饰，棒才是重点	tpl.relic.wood_armor.base|{"value":2} ;; tpl.relic.muscle_counter.battle|{"sourceAction":"DealDamage","every":10,"gain":1}
relic.phoenix_feather	Relic	凤凰羽毛	Gold	[MHP]+{relic.phoenix_feather.max_hp.delta}，[HP]小于等于{relic.phoenix_feather.fatal.hp}时，恢复{relic.phoenix_feather.fatal.pct}%[HP]并[death]	凤凰会秃头吗？	tpl.shared.5.relic_blood_shockwave_max_hp|{"delta":8,"reason":"relic.phoenix_feather.max_hp"} ;; tpl.relic.phoenix_feather.fatal|{"source":"Player","hp":0,"pct":50}
relic.potion_bag	Relic	药水袋	White	进入战斗时将{relic.potion_bag.node_start.count}张恢复药水加入到卡组	总有一瓶不知道什么时候塞进去的	tpl.relic.potion_bag.node_start|{"count":2}
relic.punch_card_knife	Relic	造物之镰	White	[attack]+{relic.punch_card_knife.attack.value}，每击杀{relic.punch_card_knife.remove.threshold}只怪物，添加{relic.punch_card_knife.remove.count}张常规道具卡到卡组	收割之后总会掉点别的东西出来	tpl.relic.wood_sword.base|{"value":1} ;; tpl.relic.punch_card_knife.remove|{"count":1,"threshold":5,"projectKey":"relic.punch_card_knife.remove.threshold"}
relic.rotation_button	Relic	旋转符文	White	进入战斗时将{relic.rotation_button.node_start.count}张旋转轮置入到手牌	看久了会怀疑地板在动	tpl.relic.rotation_button.node_start|{"count":1}
relic.rotation_trick	Relic	旋转之源	White	每击杀{relic.rotation_trick.remove.threshold}张怪物卡，添加{relic.rotation_trick.remove.count}张旋转轮到卡组	转久了会觉得世界本来就是歪的	tpl.relic.rotation_trick.remove|{"count":1,"threshold":6,"projectKey":"relic.rotation_trick.remove.threshold"}
relic.rotten_cleave_axe	Relic	顺劈斧	Red	[attack]+{relic.rotten_cleave_axe.base.value}，普通攻击改为对目标[adjacent]范围造成{relic.rotten_cleave_axe.cleave.amount}点伤害	转起来！	tpl.relic.rotten_cleave_axe.base|{"value":1} ;; tpl.relic.rotten_cleave_axe.cleave|{"sourceAction":"DealDamage","amount":1}
relic.rpm_engine	Relic	转速甲	White	基础[armor]+{relic.rpm_engine.base.value}，旋转时多旋转{relic.rpm_engine.rotate.count}次	轻盈加护！	tpl.shared.4.relic_dragon_scale_armor_base|{"value":1} ;; tpl.relic.rpm_engine.rotate|{"count":1}
relic.sharp_longsword	Relic	黑暗长戟	Blue	[attack]+{relic.sharp_longsword.base.value}；每次击杀玩家[attack]+{relic.sharp_longsword.kill.value}，维持到战斗结束	越打越来劲	tpl.relic.wood_sword.base|{"value":1} ;; tpl.relic.sharp_longsword.kill|{"value":1,"source":"relic.sharp_longsword"}
relic.shield_knife	Relic	双截棍	White	击杀时获得{relic.shield_knife.kill.amount}点[armor]	可攻可守	tpl.relic.shield_knife.kill|{"amount":1}
relic.sling	Relic	轻弓	White	击杀时对随机{relic.sling.kill.random}只怪物造成{relic.sling.kill.amount}点伤害	声音很轻，后果不一定	tpl.relic.sling.kill|{"amount":4,"random":1}
relic.spinning_barb	Relic	毒鞭	Blue	怪物每移动{relic.spinning_barb.move.every}次，受到{relic.spinning_barb.move.amount}点伤害	SM最爱	tpl.relic.spinning_barb.move|{"amount":1,"every":1}
relic.swap_button	Relic	交换之书	White	进入战斗时将{relic.swap_button.node_start.count}张交换置入手牌	为他人着想！	tpl.relic.swap_button.node_start|{"count":1}
relic.terror_mask	Relic	死亡面罩	Blue	[attack]+{relic.terror_mask.attack.value}，本场战斗每击杀{relic.terror_mask.remove.threshold}，随机破坏{relic.terror_mask.remove.count}只常规怪物	戴上后看谁都像已经死了	tpl.relic.wood_sword.base|{"value":1} ;; tpl.relic.terror_mask.node_start|{} ;; tpl.relic.terror_mask.remove|{"count":1,"reason":"relic.terror_mask","threshold":6,"projectKey":"relic.terror_mask.remove.threshold"}
relic.thorn_mail	Relic	尖刺	Blue	基础[armor]+{relic.thorn_mail.base.value}，玩家损失[armor]时，对攻击者造成等量伤害	最好的防守是让别人也疼	tpl.shared.4.relic_dragon_scale_armor_base|{"value":2} ;; tpl.relic.thorn_mail.reflect|{}
relic.thorn_skin	Relic	刺皮	Blue			tpl.relic.thorn_skin.battle|{"sourceAction":"DealDamage","source":"Target"}
relic.throwing_knife_bag	Relic	飞刀袋	White	进入战斗时将{relic.throwing_knife_bag.node_start.count}张飞刀加入到卡组	里面的数量总比你记得的多	tpl.relic.throwing_knife_bag.node_start|{"count":2}
relic.tower_child	Relic	塔之子	Blue			tpl.relic.tower_child.node_start|{}
relic.trap_cell	Relic	暗器	White	当怪物移动到格{relic.trap_cell.move.slot}时，对该怪物造成{relic.trap_cell.move.amount}点伤害	看招！	tpl.relic.trap_cell.move|{"amount":4,"slot":1}
relic.vitality_amulet	Relic	活力探险帽	Blue	[MHP]+{relic.vitality_amulet.max_hp.delta}；每场战斗结束时恢复{relic.vitality_amulet.node_end.amount}点[HP]	伟大的冒险即将启程！	tpl.shared.5.relic_blood_shockwave_max_hp|{"delta":6,"reason":"relic.vitality_amulet.max_hp"} ;; tpl.shared.2.relic_hard_skin_node_end|{"amount":6}
relic.wood_armor	Relic	木甲	White	[MHP]+{relic.wood_armor.base.value}，木质套装：[MHP]额外+{relic.wood_armor.set.value}	木匠坚持认为这不是他的作品	tpl.relic.wood_armor.base|{"value":2} ;; tpl.relic.wood_armor.set|{"value":8}
relic.wood_shield	Relic	木盾	White	基础[armor]+{relic.wood_shield.base.value}，木质套装：基础[armor]额外+{relic.wood_shield.set.value}	曾经是一张门板	tpl.shared.4.relic_dragon_scale_armor_base|{"value":1} ;; tpl.relic.wood_shield.set|{"value":2}
relic.wood_sword	Relic	木剑	White	[attack]+{relic.wood_sword.base.value}，木质套装：[attack]额外+{relic.wood_sword.set.value}	认真削过，所以算武器	tpl.relic.wood_sword.base|{"value":1} ;; tpl.relic.wood_sword.set|{"value":2}
Shop	Room	商店		出售道具/宝箱等（货架复用 HelpCard）		
skill.absorb_bone	Skill	吸骨		相邻怪物被移除时获得其移除前攻击和护甲		tpl.skill.absorb_bone.remove|{"source":"Event","reason":"skill.absorb_bone.attack","action_actions_1_reason":"skill.absorb_bone.armor"}
skill.absorb_stone	Skill	吸石		每次移动吸取相邻怪物全部护甲		tpl.skill.absorb_stone.move|{"cause":"skill.absorb_stone"}
skill.absorb	Skill	吸收		相邻怪物被移除时随机强化本卡		tpl.skill.absorb.remove|{"weight":1,"delta":1,"reason":"skill.absorb","action_choices_1_action_delta":2,"action_choices_2_action_delta":4}
skill.air_strike	Skill	空中打击		移动到角格时对玩家造成2点伤害		tpl.shared.2.skill_air_strike_slot1|{"amount":2} ;; tpl.skill.air_strike.slot3|{"amount":2} ;; tpl.skill.air_strike.slot7|{"amount":2} ;; tpl.skill.air_strike.slot9|{"amount":2}
skill.ambush_melee	Skill	潜伏近战		[场上]卡级开火窗口时，若本卡正面且与玩家卡正交相邻，对玩家造成等同本卡攻击的伤害并翻面		tpl.skill.ambush_melee.interact|{}
skill.assassin_leader	Skill	刺客领袖		[场上]若本卡处于正面，怪物打出到格后立刻翻面		tpl.skill.assassin_leader.rule|{}
skill.attrition	Skill	损耗		怪物被移除时本卡攻击-1血量-10		tpl.skill.attrition.remove|{"delta":-1,"reason":"skill.attrition","action_actions_1_delta":-10}
skill.battle_hardened	Skill	历战		[战斗时]每累计对玩家造成2点伤害，本卡攻击+1		tpl.skill.battle_hardened.damage|{"delta":1,"reason":"skill.battle_hardened"}
skill.beggar_bond	Skill	丐帮同心		每移动5次洗入乞丐		tpl.skill.beggar_bond.move|{"count":1}
skill.blessing	Skill	庇佑		下一次受到伤害时，该次伤害变为0		tpl.skill.blessing.rule|{"value":0}
skill.bloodthirst	Skill	嗜血		战斗时每造成2点伤害，本卡攻击+1		tpl.skill.bloodthirst.damage|{"delta":1,"reason":"skill.bloodthirst"}
skill.breathe_fire	Skill	喷火		每移动3次放烈焰		tpl.skill.breathe_fire.move|{"count":1}
skill.call_followers	Skill	呼唤信徒		每移动3次加入龙信徒		tpl.skill.call_followers.move|{"count":1}
skill.call_melee6	Skill	呼唤		每互动5次将近战6加入战斗卡组		tpl.skill.call_melee6.interact|{"count":1}
skill.chant	Skill	吟唱		每互动6次将近战3加入战斗卡组		tpl.skill.chant.interact|{"count":1}
skill.cloud_breath	Skill	吞云吐雾		每互动5次移除场上烈焰并按数造成伤害		tpl.skill.cloud_breath.interact|{"reason":"skill.cloud_breath"}
skill.death_summon	Skill	死亡召唤		[场上] [被移除时]，将一张复活石打出到同格		tpl.skill.death_summon.remove|{"count":1}
skill.delivery	Skill	快递		每移动5次，将相邻帮助卡（道具）与战斗卡组怪物交换		tpl.skill.delivery.move|{"count":1}
skill.endless_flame	Skill	生生不息		烈焰被移除时再洗入一张烈焰		tpl.skill.endless_flame.remove|{"count":1}
skill.evade	Skill	逃避		[战斗后]在格1/3/7/9中有非本卡的卡牌时，随机与其中一张交换位置；全无则不触发；致死伤后不触发		tpl.skill.evade.battle|{"sourceAction":"DealDamage"}
skill.fall_apart	Skill	散架		被移除时洗入骷髅头与无头骷髅		tpl.skill.fall_apart.remove|{"count":1}
skill.falling_rocks	Skill	落石		累计损失10护甲洗入石人		tpl.skill.falling_rocks.cumulative|{"weight":1,"count":1}
skill.fight_me	Skill	和我打！		相邻玩家与其他怪物战斗时改为与本卡战斗		tpl.skill.fight_me.battle|{"sourceAction":"DealDamage"}
skill.find_weakness	Skill	发现弱点		福地达到3后下一次移动造成99伤害		tpl.skill.find_weakness.move|{"amount":99}
skill.fire_power	Skill	火之力		每有一张烈焰，本卡攻击+2		tpl.skill.fire_power.aura|{"source":"CardCount"}
skill.first_strike	Skill	先手还击		持有先手还击技能		tpl.skill.first_strike.rule|{"value":1}
skill.flame_boiling	Skill	烈焰沸腾		[场上]玩家卡每互动5次，烈焰造成伤害再+1（可叠加）		tpl.skill.flame_boiling.rule|{"value":1,"source":"skill.flame_boiling"}
skill.flame_breath	Skill	烈焰吐息		每移动4次移除其他普通怪物并按数量加入烈焰		tpl.skill.flame_breath.move|{"reason":"skill.flame_breath","count":1}
skill.fracture_fall_apart	Skill	折损散架		被移除时洗入多骨虫和等级2随机怪物		tpl.skill.fracture_fall_apart.remove|{"count":1}
skill.gear_delivery	Skill	发装备了！		每移动2次随机强化其他怪物		tpl.skill.gear_delivery.move|{"count":1,"weight":1,"delta":1,"reason":"skill.gear_delivery","action_choices_1_action_delta":2}
skill.gift	Skill	礼物		每移动3次放旋转轮		tpl.skill.gift.move|{}
skill.give_punch	Skill	给你一拳		登场在偶数边位时伤害玩家		tpl.skill.give_punch.enter2|{"amount":2} ;; tpl.skill.give_punch.enter4|{"amount":2} ;; tpl.skill.give_punch.enter6|{"amount":2} ;; tpl.skill.give_punch.enter8|{"amount":2}
skill.guide	Skill	引路		每移动3次创建福地，怪物进入福地获得护甲和攻击		tpl.skill.guide.create_blessed|{"count":1} ;; tpl.skill.guide.blessed_enter|{"amount":2,"delta":1,"reason":"skill.guide"}
skill.hard	Skill	坚硬		左列战斗时按损失护甲伤害玩家		tpl.skill.hard.slot1|{"source":"Event"} ;; tpl.skill.hard.slot4|{"source":"Event"} ;; tpl.skill.hard.slot7|{"source":"Event"}
skill.holy_duel	Skill	神圣决斗		[场上]当玩家卡与本卡[战斗后]，与其他怪物卡战斗，则对玩家卡造成2点伤害；持有者翻面或离场清标记		tpl.skill.holy_duel.activate|{"value":1,"source":"skill.holy_duel"}
skill.hoodlum	Skill	混的人		每次移动到格1时对玩家造成2点伤害		tpl.shared.2.skill_air_strike_slot1|{"amount":2}
skill.hot_observation	Skill	灼热观察		怪物卡因怪物技能位移时伤害玩家		tpl.skill.hot_observation.observe|{"amount":1}
skill.intense_burning	Skill	剧烈燃烧		每有一张烈焰加入战斗卡组，额外加入一张且不递归		tpl.skill.intense_burning.flame_deal|{"count":1}
skill.leap_kill	Skill	跳杀		[场上] [翻面后] 若正面朝上且正交邻接玩家，对玩家造成等同本卡攻击的伤害		tpl.skill.leap_kill.flip|{}
skill.learning_growth	Skill	学习成长		其他怪物获得攻击时本卡攻击+1		tpl.skill.learning_growth.gain|{"delta":1,"reason":"skill.learning_growth"}
skill.link_armor	Skill	链接护甲		每互动3次邻接怪物护甲+1		tpl.skill.link_armor.interact|{"amount":1}
skill.link_attack_bonus	Skill	邻接攻击+1		邻接有其他怪物时攻击伤害+1		tpl.skill.link_attack_bonus.rule|{"value":1,"source":"skill.link_attack_bonus"}
skill.link_prep	Skill	链接准备		每互动5次移除相邻道具卡		tpl.skill.link_prep.move|{"reason":"skill.link_prep"}
skill.link_tactics	Skill	链接战术		[场上]邻接怪物攻击+1；离开邻接后失效（常驻光环）		tpl.skill.link_tactics.activate|{"value":1,"source":"skill.link_tactics"} ;; tpl.skill.link_tactics.refresh|{"value":1,"source":"skill.link_tactics"}
skill.lord_of_death	Skill	死亡之主		[场上] 每有一张怪物卡[被移除时]，将一张复活石打出到同格（自己死不补）		tpl.skill.lord_of_death.remove|{"count":1}
skill.love_fire	Skill	恋火		有烈焰时攻击+4		tpl.skill.love_fire.aura|{"value":4}
skill.mixed_bones	Skill	混合骨头		每移动5次移除随机两张其他怪物并洗入等级2/3随机怪物		tpl.skill.mixed_bones.move|{"count":2,"reason":"skill.mixed_bones","action_actions_1_count":1}
skill.monster_battle_hardened	Skill	历战怪物		战斗时本卡攻击+2		tpl.skill.monster_battle_hardened.battle|{"sourceAction":"DealDamage","value":2,"source":"skill.monster_battle_hardened"}
skill.offer_fire	Skill	献火		被移除时加入烈焰		tpl.skill.offer_fire.remove|{"count":1}
skill.orc_tactics	Skill	兽人战术		每移动1次，相邻怪物攻击+1		tpl.skill.orc_tactics.move|{"value":1,"source":"skill.orc_tactics"}
skill.otherworld_help	Skill	异界帮助		每移动9次从其他怪物牌组加入普通怪物		tpl.skill.otherworld_help.move|{"count":1}
skill.purge_followers	Skill	献祭		每移动2次，移除九宫格上所有的龙信徒		tpl.skill.purge_followers.move|{"reason":"skill.purge_followers"}
skill.random_walk	Skill	乱步		每移动3次与随机帮助卡交换		tpl.skill.random_walk.move|{"count":1}
skill.range_expand	Skill	范围扩大		所有怪物卡视为与本卡正交相邻		tpl.skill.range_expand.rule|{"value":1}
skill.ranged_weapon	Skill	远程武器		[战斗时]玩家交战本卡时，本卡不先手也不反击（齐射不受影响）		tpl.skill.ranged_weapon.activate|{"value":1,"source":"skill.ranged_weapon"}
skill.rascality	Skill	痞气		每损失3点护甲，相邻怪物攻击+1		tpl.skill.rascality.armor_lost|{"value":1,"source":"skill.rascality"}
skill.recombine_body	Skill	重新组合身		相邻无头骷髅组合		tpl.skill.recombine_body.move|{"count":1}
skill.recombine_head	Skill	重新组合头		相邻骷髅头组合		tpl.skill.recombine_head.move|{"count":1}
skill.recuperate	Skill	休养		[场上][翻面后]若正面朝上，本卡攻击+1、护甲+2		tpl.skill.recuperate.flip|{"delta":1,"armor":2,"reason":"skill.recuperate"}
skill.relentless_chase	Skill	不休追击		移动到玩家相邻格时强制战斗		tpl.skill.relentless_chase.move|{}
skill.rise_up	Skill	起来		[场上]本卡对玩家造成一次伤害后，随机使一张其他正面怪物卡翻面为背面		tpl.skill.rise_up.damage|{"count":1}
skill.rolling_crush	Skill	滚动碾压		移动到格3时移除格6帮助卡		tpl.skill.rolling_crush.slot3|{"reason":"skill.rolling_crush"}
skill.rotate_lover	Skill	爱好旋转		每移动3次旋转		tpl.skill.rotate_lover.move|{"count":1}
skill.sacrifice	Skill	献身		[场上] [被移除时]，使[场上]其他怪物卡攻击+1		tpl.skill.sacrifice.remove|{"delta":1,"reason":"skill.sacrifice"}
skill.sharp_stone	Skill	尖石		护甲归零时伤害玩家		tpl.skill.sharp_stone.armor_break|{"amount":1}
skill.smart	Skill	大聪明		每次获得攻击时，本卡额外攻击+1且不递归		tpl.skill.smart.gain|{"delta":1,"reason":"skill.smart"}
skill.space_mastery	Skill	空间掌握		玩家与本卡战斗后旋转一次		tpl.skill.space_mastery.battle|{"sourceAction":"DealDamage","count":1}
skill.speed_up	Skill	提速		[场上]每次本卡对玩家卡造成一次伤害，其他怪物卡的互动次数+1（倒计时-1）		tpl.skill.speed_up.damage|{"delta":-1}
skill.stack_armor	Skill	叠甲		每互动6次其他怪物护甲+2		tpl.skill.stack_armor.interact|{"amount":2}
skill.steal	Skill	盗取		[场上] [翻面后] 若正面朝上，随机移除邻接格子上一张帮助卡		tpl.skill.steal.flip|{"count":1,"reason":"skill.steal"}
skill.stocking	Skill	进货		累计移动到玩家相邻3次时移除帮助卡并获得护甲		tpl.skill.stocking.move|{"reason":"skill.stocking","count":1,"amount":5}
skill.stone_growth	Skill	石增长		移动到左列时其他怪物获得2点护甲		tpl.skill.stone_growth.slot1|{"amount":2} ;; tpl.skill.stone_growth.slot4|{"amount":2} ;; tpl.skill.stone_growth.slot7|{"amount":2}
skill.stone_lover	Skill	石头爱好者		玩家卡和怪物卡损失护甲时本卡攻击+1		tpl.skill.stone_lover.armor_lost|{"delta":1,"reason":"skill.stone_lover"}
skill.stone_shelter	Skill	石庇护		其他怪物卡受到的伤害减少1点		tpl.skill.stone_shelter.rule|{"value":-1,"source":"skill.stone_shelter"}
skill.stray_cub	Skill	流浪幼崽		格6攻击+2并获得先手还击		tpl.skill.stray_cub.slot6|{"value":2} ;; tpl.skill.stray_cub.first_strike|{"value":1}
skill.stroll	Skill	漫步		每移动1次攻击+2		tpl.skill.stroll.move|{"value":2,"source":"skill.stroll"}
skill.strong_combo	Skill	强力组合		移动时与相邻两张怪物合成为巨大骷髅		tpl.skill.strong_combo.move|{"reason":"skill.strong_combo.self","action_actions_1_reason":"skill.strong_combo.material","count":2,"action_actions_2_count":1}
skill.survival_wisdom	Skill	生存智慧		战斗时恢复1且攻击+1		tpl.skill.survival_wisdom.battle|{"sourceAction":"DealDamage","value":1,"amount":1,"source":"skill.survival_wisdom"}
skill.swallow_stone	Skill	吞石		每移动2次吸相邻怪物护甲		tpl.skill.swallow_stone.move|{"amount":1,"cause":"skill.swallow_stone"}
skill.taunt	Skill	嘲讽		相邻时只能与本卡战斗		tpl.skill.taunt.rule|{"value":0}
skill.throw_stone	Skill	丢石头		每移动2次消耗本卡2护甲并伤害玩家		tpl.skill.throw_stone.move|{"value":2,"amount":2,"cause":"skill.throw_stone"}
skill.turn_world	Skill	转动		登场旋转一次		tpl.skill.turn_world.enter|{"count":1}
skill.unstable	Skill	不稳定		每移动3次随机交换怪物		tpl.skill.unstable.move|{"count":1}
skill.violence_maniac	Skill	暴力狂		每移动2次，移除相邻格子上的怪物卡和帮助卡		tpl.skill.violence_maniac.move|{"reason":"skill.violence_maniac"}
skill.violence_nutrition	Skill	暴力即养分		依靠暴力狂移除怪物得攻击，移除帮助卡得护甲		tpl.skill.violence_nutrition.monster_remove|{"delta":3,"reason":"skill.violence_nutrition"} ;; tpl.skill.violence_nutrition.help_remove|{"delta":5,"reason":"skill.violence_nutrition"}
skill.world_as_neighbors	Skill	天涯若比邻		[场上]所有怪物卡视为正交相邻（仅技能邻接判定；不影响攻击距离）		tpl.skill.world_as_neighbors.rule|{"value":1}
Tavern	Room	卡店		道具卡强化/固定/扩容		
trap.armor_totem	Trap	护甲图腾	White	[adjacent]的怪物和玩家[armor]+{trap.armor_totem.aura.value}	借给你的护甲是要还的	tpl.trap.armor_totem.aura|{"value":1,"source":"trap.armor_totem"} ;; tpl.trap.armor_totem.refresh|{"value":1,"source":"trap.armor_totem"} ;; tpl.trap.armor_totem.aura_player|{"value":1,"source":"trap.armor_totem"} ;; tpl.trap.armor_totem.refresh_player|{"value":1,"source":"trap.armor_totem"}
trap.attack_totem	Trap	攻击图腾	White	[adjacent]的怪物和玩家[attack]+{trap.attack_totem.aura.value}	40米长刀	tpl.trap.attack_totem.aura|{"value":1,"source":"trap.attack_totem"} ;; tpl.trap.attack_totem.refresh|{"value":1,"source":"trap.attack_totem"} ;; tpl.trap.attack_totem.aura_player|{"value":1,"source":"trap.attack_totem"} ;; tpl.trap.attack_totem.refresh_player|{"value":1,"source":"trap.attack_totem"}
trap.bear_trap	Trap	捕熊陷阱	White	对下张[adjacent]的怪物/道具造成{trap.bear_trap.fill.amount}点伤害/移除，触发后[death]	唯独捕不到熊	tpl.trap.bear_trap.fill|{"amount":10,"reason":"trap.bear_trap"}
trap.flame	Trap	烈焰	Red	每移动{trap.flame.move.every}次，对[adjacent]的玩家造成{trap.flame.move.amount}点伤害，{trap.flame.remove.every}次后[death]	除草一流	tpl.trap.flame.move|{"amount":1,"every":1} ;; tpl.trap.flame.remove|{"reason":"trap.flame","every":3,"projectKey":"trap.flame.remove.every"}
trap.healing_spring	Trap	疗愈之光	Red	每移动{trap.healing_spring.heal_on_move.every}次，若玩家在[adjacent]则恢复{trap.healing_spring.heal_on_move.amount}点血量	遮阳伞有害	tpl.trap.healing_spring.heal_on_move|{"amount":1,"every":1}
trap.leave	Trap	离开机关	None	魔免；只可被交战击破，[death]后离开房间	放我出去！！！！！	tpl.trap.door|{} ;; tpl.trap.magic_immunity|{} ;; tpl.trap.leave|{}
trap.recovery_totem	Trap	恢复图腾	White	每移动{trap.recovery_totem.heal_on_move.every}次，[adjacent]的怪物和玩家各恢复{trap.recovery_totem.heal_on_move.amount}点血量	医者仁心	tpl.trap.recovery_totem.heal_on_move|{"amount":1,"every":1} ;; tpl.trap.recovery_totem.heal_player_on_move|{"amount":1}
trap.revive_stone	Trap	复活石	None	[action]{trap.revive_stone.interact.every}次后[death]，将{trap.revive_stone.remove.count}张重生骷髅打出到同格	花费75阳光铲除它	tpl.trap.revive_stone.interact|{"reason":"trap.revive_stone","every":6,"projectKey":"trap.revive_stone.interact.every"} ;; tpl.trap.revive_stone.remove|{"count":1}
trap.rolling_stone	Trap	滚石	White	移动到格{trap.rolling_stone.slot3.slot}时，移除格{trap.rolling_stone.slot3.targetSlot}上的常规怪物/道具/机关	泡沫做的	tpl.trap.rolling_stone.slot3|{"reason":"trap.rolling_stone","slot":3,"targetSlot":6}
trap.spike	Trap	刺藤	White	每移动{trap.spike.move.every}次，[adjacent]的怪物和玩家各受到{trap.spike.move.amount}点伤害	园艺失败的最终形态	tpl.trap.spike.move|{"amount":1,"every":1} ;; tpl.trap.spike.move_player|{"amount":1}
Treasure	Room	宝箱房		开局加入宝箱卡		
TreasureReward	Room	宝箱奖励房		房内铺 1 宝箱 + 3 随机道具；点击拿走，离开放弃		
UpgradeItemStats	ChoiceOption	道具强化		提升所有道具卡数值3点		
